name,nickname,lat,lon,exraid
Sherbrooke Metal Sculpture,,52.123197,-106.597575,False
Shiny Sculpture #1,,52.197852,-106.645795,False
Shiny!,,52.128533,-106.586906,False
Sidney L. Buckwold Park South,,52.1184,-106.579704,False
Sifton Park,,52.136931,-106.710583,True
Sifton Park Southwest Entrance,,52.133666,-106.714343,True
Silverspring Park,,52.159622,-106.590371,True
Silverwood Golf Course,,52.19054,-106.622926,
Smiley Guy,,52.170468,-106.653265,False
Soaring Eagle,,52.127674,-106.723057,False
Soccer Locker,,52.134868,-106.661071,False
South Center Mall Map,,52.113045,-106.601235,False
Southern Entrance to Prebble Park,,52.16482,-106.581083,True
St Mark's Anglican Church,,52.145988,-106.650196,False
St Matthews Anglican Church,,52.137435,-106.603572,False
St. Andrews Park South East Entrance,,52.117352,-106.689004,True
St. David's Trinity United Church,,52.112155,-106.731403,False
St. George's Anglican Church,,52.120509,-106.682715,False
St. John Bosco Church,,52.112668,-106.692324,False
St. Joseph's Parish,,52.114761,-106.657267,False
St. Martin's United Church,,52.095789,-106.646421,False
St. Michael's Parish Church,,52.144016,-106.667787,False
St. Peter the Apostle Catholic Parish,,52.142514,-106.714598,False
St. Philip Church,,52.107003,-106.64154,False
St. Stephen's Anglican Church,,52.107006,-106.626337,False
St. Vincent of Lerins,,52.138093,-106.677149,False
St. Volodymyr Statue,,52.103674,-106.606637,False
St.Andrews Presbyterian Church,,52.124541,-106.660559,False
St.George Cathedral,,52.126283,-106.688684,False
St.Paul Lutheran Church,,52.107742,-106.654382,False
St.Paul's United Church,,52.133568,-106.604215,False
Steam Shipping Heritage Site,,52.11995,-106.665532,True
Stonebridge,,52.083976,-106.635369,False
Stonebridge Community Garden,,52.085752,-106.635859,False
Sutherland Beach Dog Park,,52.156209,-106.628204,False
Sutherland Forestry Nursery Station,,52.156014,-106.583946,True
Sutherland Park,,52.141904,-106.603781,True
The Canadian Brewhouse Inukshuk,,52.086038,-106.626099,False
The Capitol,,52.131505,-106.66416,False
The Church of Latter Day Saints,,52.123027,-106.721401,False
The Corner Rainbow,,52.143974,-106.672991,False
The Red Knight,,52.164615,-106.674531,False
Thornton Park North,,52.105202,-106.667974,True
Trans Canada Trail,,52.187296,-106.614585,True
Transformers Reborn,,52.155781,-106.663114,False
Tree Storage Shed,,52.156964,-106.581637,True
